VERSION,CPUs,PARAMETER,INSTANCE_VALUE
12.2.0.1,87,_session_allocation_latches,87
12.2.0.1,87,_shared_server_num_queues,4
12.2.0.1,87,_small_table_threshold,14339
12.2.0.1,87,_spin_count,2000
12.2.0.1,87,_sqlmon_max_plan,1740
12.2.0.1,87,_super_shared_conversion_threshold,7000
12.2.0.1,87,_use_single_log_writer,-1
12.2.0.1,87,cpu_count,87
12.2.0.1,87,db_file_multiblock_read_count,68
12.2.0.1,87,db_writer_processes,10
12.2.0.1,87,dml_locks,46316
12.2.0.1,87,log_buffer,72867840
12.2.0.1,87,parallel_max_servers,3480
12.2.0.1,87,parallel_min_servers,348
12.2.0.1,87,parallel_servers_target,1392
12.2.0.1,87,pga_aggregate_limit,22020096000
12.2.0.1,87,processes,7000
12.2.0.1,87,sessions,10527
12.2.0.1,87,sga_max_size,7516192768
12.2.0.1,87,shared_pool_reserved_size,59559116
12.2.0.1,87,transactions,11579
12.2.0.1,88,__db_cache_size,5586812928
12.2.0.1,88,__large_pool_size,83886080
12.2.0.1,88,__shared_pool_size,1744830464
12.2.0.1,88,_cursor_db_buffers_pinned,99
12.2.0.1,88,_db_block_buffers,716994
12.2.0.1,88,_db_block_lru_latches,704
12.2.0.1,88,_db_file_exec_read_count,67
12.2.0.1,88,_db_handles,70800
12.2.0.1,88,_enqueue_hash,21331
12.2.0.1,88,_enqueue_hash_chain_latches,88
12.2.0.1,88,_enqueue_locks,127900
12.2.0.1,88,_enqueue_resources,47068
12.2.0.1,88,_flashback_generation_buffer_size,369098752
12.2.0.1,88,_gc_fast_index_split_wait,3540
12.2.0.1,88,_gcs_min_cr_slaves,1
12.2.0.1,88,_hang_resolution_scope,0
12.2.0.1,88,_lms_rollbacks,1
12.2.0.1,88,_log_parallelism_max,5
12.2.0.1,88,_log_simultaneous_copies,176
12.2.0.1,88,_max_log_write_parallelism,2
12.2.0.1,88,_max_outstanding_log_writes,2
12.2.0.1,88,_max_pending_scn_bcasts,9
12.2.0.1,88,_messages,14160
12.2.0.1,88,_num_longop_child_latches,88
12.2.0.1,88,_num_rlslaves,32
12.2.0.1,88,_parallel_min_message_pool,6159335424
12.2.0.1,88,_pmon_max_slaves,140
12.2.0.1,88,_pmon_slaves_arr_size,3540
12.2.0.1,88,_px_proactive_slave_alloc_threshold,352
12.2.0.1,88,_session_allocation_latches,88
12.2.0.1,88,_shared_server_num_queues,4
12.2.0.1,88,_small_table_threshold,14339
12.2.0.1,88,_spin_count,2000
12.2.0.1,88,_sqlmon_max_plan,1760
12.2.0.1,88,_super_shared_conversion_threshold,7080
12.2.0.1,88,_use_single_log_writer,-1
12.2.0.1,88,cpu_count,88
12.2.0.1,88,db_file_multiblock_read_count,67
12.2.0.1,88,db_writer_processes,11
12.2.0.1,88,dml_locks,46848
12.2.0.1,88,log_buffer,72867840
12.2.0.1,88,parallel_max_servers,3520
12.2.0.1,88,parallel_min_servers,352
12.2.0.1,88,parallel_servers_target,1408
12.2.0.1,88,pga_aggregate_limit,22271754240
12.2.0.1,88,processes,7080
12.2.0.1,88,sessions,10648
12.2.0.1,88,sga_max_size,7516192768
12.2.0.1,88,shared_pool_reserved_size,59559116
12.2.0.1,88,transactions,11712
12.2.0.1,89,__db_cache_size,5586812928
12.2.0.1,89,__large_pool_size,83886080
12.2.0.1,89,__shared_pool_size,1744830464
12.2.0.1,89,_cursor_db_buffers_pinned,98
12.2.0.1,89,_db_block_buffers,716994
12.2.0.1,89,_db_block_lru_latches,712
12.2.0.1,89,_db_file_exec_read_count,66
12.2.0.1,89,_db_handles,71600
12.2.0.1,89,_enqueue_hash,21573
12.2.0.1,89,_enqueue_hash_chain_latches,89
12.2.0.1,89,_enqueue_locks,129350
12.2.0.1,89,_enqueue_resources,47600
12.2.0.1,89,_flashback_generation_buffer_size,373293056
12.2.0.1,89,_gc_fast_index_split_wait,3580
12.2.0.1,89,_gcs_min_cr_slaves,1
12.2.0.1,89,_hang_resolution_scope,-2
12.2.0.1,89,_lms_rollbacks,1
12.2.0.1,89,_log_parallelism_max,5
12.2.0.1,89,_log_simultaneous_copies,178
12.2.0.1,89,_max_log_write_parallelism,2
12.2.0.1,89,_max_outstanding_log_writes,2
12.2.0.1,89,_max_pending_scn_bcasts,9
12.2.0.1,89,_messages,14320
12.2.0.1,89,_num_longop_child_latches,89
12.2.0.1,89,_num_rlslaves,32
12.2.0.1,89,_parallel_min_message_pool,6299320320
12.2.0.1,89,_pmon_max_slaves,142
12.2.0.1,89,_pmon_slaves_arr_size,3580
12.2.0.1,89,_px_proactive_slave_alloc_threshold,356
12.2.0.1,89,_session_allocation_latches,89
12.2.0.1,89,_shared_server_num_queues,4
12.2.0.1,89,_small_table_threshold,14339
12.2.0.1,89,_spin_count,2000
12.2.0.1,89,_sqlmon_max_plan,1780
12.2.0.1,89,_super_shared_conversion_threshold,7160
12.2.0.1,89,_use_single_log_writer,-1
12.2.0.1,89,cpu_count,89
12.2.0.1,89,db_file_multiblock_read_count,66
12.2.0.1,89,db_writer_processes,11
12.2.0.1,89,dml_locks,47380
12.2.0.1,89,log_buffer,72867840
12.2.0.1,89,parallel_max_servers,3560
12.2.0.1,89,parallel_min_servers,356
12.2.0.1,89,parallel_servers_target,1424
12.2.0.1,89,pga_aggregate_limit,22523412480
12.2.0.1,89,processes,7160
12.2.0.1,89,sessions,10769
12.2.0.1,89,sga_max_size,7516192768
12.2.0.1,89,shared_pool_reserved_size,59559116
12.2.0.1,89,transactions,11845
12.2.0.1,90,__db_cache_size,5570035712
12.2.0.1,90,__large_pool_size,83886080
12.2.0.1,90,__shared_pool_size,1761607680
12.2.0.1,90,_cursor_db_buffers_pinned,97
12.2.0.1,90,_db_block_buffers,716994
12.2.0.1,90,_db_block_lru_latches,720
12.2.0.1,90,_db_file_exec_read_count,65
12.2.0.1,90,_db_handles,72400
12.2.0.1,90,_enqueue_hash,21815
12.2.0.1,90,_enqueue_hash_chain_latches,90
12.2.0.1,90,_enqueue_locks,130800
12.2.0.1,90,_enqueue_resources,48136
12.2.0.1,90,_flashback_generation_buffer_size,377487360
12.2.0.1,90,_gc_fast_index_split_wait,3620
12.2.0.1,90,_gcs_min_cr_slaves,1
12.2.0.1,90,_hang_resolution_scope,-2
12.2.0.1,90,_lms_rollbacks,1
12.2.0.1,90,_log_parallelism_max,5
12.2.0.1,90,_log_simultaneous_copies,180
12.2.0.1,90,_max_log_write_parallelism,2
12.2.0.1,90,_max_outstanding_log_writes,2
12.2.0.1,90,_max_pending_scn_bcasts,9
12.2.0.1,90,_messages,14480
12.2.0.1,90,_num_longop_child_latches,90
12.2.0.1,90,_num_rlslaves,32
12.2.0.1,90,_parallel_min_message_pool,6440878080
12.2.0.1,90,_pmon_max_slaves,144
12.2.0.1,90,_pmon_slaves_arr_size,3620
12.2.0.1,90,_px_proactive_slave_alloc_threshold,360
12.2.0.1,90,_session_allocation_latches,90
12.2.0.1,90,_shared_server_num_queues,4
12.2.0.1,90,_small_table_threshold,14339
12.2.0.1,90,_spin_count,2000
12.2.0.1,90,_sqlmon_max_plan,1800
12.2.0.1,90,_super_shared_conversion_threshold,7240
12.2.0.1,90,_use_single_log_writer,-1
12.2.0.1,90,cpu_count,90
12.2.0.1,90,db_file_multiblock_read_count,65
12.2.0.1,90,db_writer_processes,11
12.2.0.1,90,dml_locks,47916
12.2.0.1,90,log_buffer,72867840
12.2.0.1,90,parallel_max_servers,3600
12.2.0.1,90,parallel_min_servers,360
12.2.0.1,90,parallel_servers_target,1440
12.2.0.1,90,pga_aggregate_limit,22775070720
12.2.0.1,90,processes,7240
12.2.0.1,90,sessions,10890
12.2.0.1,90,sga_max_size,7516192768
12.2.0.1,90,shared_pool_reserved_size,59559116
12.2.0.1,90,transactions,11979
12.2.0.1,91,__db_cache_size,5553258496
12.2.0.1,91,__large_pool_size,83886080
12.2.0.1,91,__shared_pool_size,1778384896
12.2.0.1,91,_cursor_db_buffers_pinned,95
12.2.0.1,91,_db_block_buffers,716994
12.2.0.1,91,_db_block_lru_latches,728
12.2.0.1,91,_db_file_exec_read_count,65
12.2.0.1,91,_db_handles,73200
12.2.0.1,91,_enqueue_hash,22057
12.2.0.1,91,_enqueue_hash_chain_latches,91
12.2.0.1,91,_enqueue_locks,132250
12.2.0.1,91,_enqueue_resources,48668
12.2.0.1,91,_flashback_generation_buffer_size,381681664
12.2.0.1,91,_gc_fast_index_split_wait,3660
12.2.0.1,91,_gcs_min_cr_slaves,1
12.2.0.1,91,_hang_resolution_scope,0
12.2.0.1,91,_lms_rollbacks,1
12.2.0.1,91,_log_parallelism_max,5
12.2.0.1,91,_log_simultaneous_copies,182
12.2.0.1,91,_max_log_write_parallelism,2
12.2.0.1,91,_max_outstanding_log_writes,2
12.2.0.1,91,_max_pending_scn_bcasts,9
12.2.0.1,91,_messages,14640
12.2.0.1,91,_num_longop_child_latches,91
12.2.0.1,91,_num_rlslaves,32
12.2.0.1,91,_parallel_min_message_pool,6584008704
12.2.0.1,91,_pmon_max_slaves,146
12.2.0.1,91,_pmon_slaves_arr_size,3660
12.2.0.1,91,_px_proactive_slave_alloc_threshold,364
12.2.0.1,91,_session_allocation_latches,91
12.2.0.1,91,_shared_server_num_queues,4
12.2.0.1,91,_small_table_threshold,14339
12.2.0.1,91,_spin_count,2000
12.2.0.1,91,_sqlmon_max_plan,1820
12.2.0.1,91,_super_shared_conversion_threshold,7320
12.2.0.1,91,_use_single_log_writer,-1
12.2.0.1,91,cpu_count,91
12.2.0.1,91,db_file_multiblock_read_count,65
12.2.0.1,91,db_writer_processes,11
12.2.0.1,91,dml_locks,48448
12.2.0.1,91,log_buffer,72867840
12.2.0.1,91,parallel_max_servers,3640
12.2.0.1,91,parallel_min_servers,364
12.2.0.1,91,parallel_servers_target,1456
12.2.0.1,91,pga_aggregate_limit,23026728960
12.2.0.1,91,processes,7320
12.2.0.1,91,sessions,11011
12.2.0.1,91,sga_max_size,7516192768
12.2.0.1,91,shared_pool_reserved_size,59559116
12.2.0.1,91,transactions,12112
12.2.0.1,92,__db_cache_size,5536481280
12.2.0.1,92,__large_pool_size,83886080
12.2.0.1,92,__shared_pool_size,1795162112
12.2.0.1,92,_cursor_db_buffers_pinned,94
12.2.0.1,92,_db_block_buffers,716994
12.2.0.1,92,_db_block_lru_latches,736
12.2.0.1,92,_db_file_exec_read_count,64
12.2.0.1,92,_db_handles,74000
12.2.0.1,92,_enqueue_hash,22299
12.2.0.1,92,_enqueue_hash_chain_latches,92
12.2.0.1,92,_enqueue_locks,133700
12.2.0.1,92,_enqueue_resources,49200
12.2.0.1,92,_flashback_generation_buffer_size,385875968
12.2.0.1,92,_gc_fast_index_split_wait,3700
12.2.0.1,92,_gcs_min_cr_slaves,1
12.2.0.1,92,_hang_resolution_scope,0
12.2.0.1,92,_lms_rollbacks,1
12.2.0.1,92,_log_parallelism_max,5
12.2.0.1,92,_log_simultaneous_copies,184
12.2.0.1,92,_max_log_write_parallelism,2
12.2.0.1,92,_max_outstanding_log_writes,2
12.2.0.1,92,_max_pending_scn_bcasts,9
12.2.0.1,92,_messages,14800
12.2.0.1,92,_num_longop_child_latches,92
12.2.0.1,92,_num_rlslaves,32
12.2.0.1,92,_parallel_min_message_pool,6728712192
12.2.0.1,92,_pmon_max_slaves,148
12.2.0.1,92,_pmon_slaves_arr_size,3700
12.2.0.1,92,_px_proactive_slave_alloc_threshold,368
12.2.0.1,92,_session_allocation_latches,92
12.2.0.1,92,_shared_server_num_queues,4
12.2.0.1,92,_small_table_threshold,14339
12.2.0.1,92,_spin_count,2000
12.2.0.1,92,_sqlmon_max_plan,1840
12.2.0.1,92,_super_shared_conversion_threshold,7400
12.2.0.1,92,_use_single_log_writer,-1
12.2.0.1,92,cpu_count,92
12.2.0.1,92,db_file_multiblock_read_count,64
12.2.0.1,92,db_writer_processes,11
12.2.0.1,92,dml_locks,48980
12.2.0.1,92,log_buffer,72867840
12.2.0.1,92,parallel_max_servers,3680
12.2.0.1,92,parallel_min_servers,368
12.2.0.1,92,parallel_servers_target,1472
12.2.0.1,92,pga_aggregate_limit,23278387200
12.2.0.1,92,processes,7400
12.2.0.1,92,sessions,11132
12.2.0.1,92,sga_max_size,7516192768
12.2.0.1,92,shared_pool_reserved_size,59559116
12.2.0.1,92,transactions,12245
12.2.0.1,93,__db_cache_size,5519704064
12.2.0.1,93,__large_pool_size,83886080
12.2.0.1,93,__shared_pool_size,1811939328
12.2.0.1,93,_cursor_db_buffers_pinned,93
12.2.0.1,93,_db_block_buffers,716994
12.2.0.1,93,_db_block_lru_latches,744
12.2.0.1,93,_db_file_exec_read_count,63
12.2.0.1,93,_db_handles,74800
12.2.0.1,93,_enqueue_hash,22541
12.2.0.1,93,_enqueue_hash_chain_latches,93
12.2.0.1,93,_enqueue_locks,135150
12.2.0.1,93,_enqueue_resources,49732
12.2.0.1,93,_flashback_generation_buffer_size,390070272
12.2.0.1,93,_gc_fast_index_split_wait,3740
12.2.0.1,93,_gcs_min_cr_slaves,1
12.2.0.1,93,_hang_resolution_scope,0
12.2.0.1,93,_lms_rollbacks,1
12.2.0.1,93,_log_parallelism_max,5
12.2.0.1,93,_log_simultaneous_copies,186
12.2.0.1,93,_max_log_write_parallelism,2
12.2.0.1,93,_max_outstanding_log_writes,2
12.2.0.1,93,_max_pending_scn_bcasts,9
12.2.0.1,93,_messages,14960
12.2.0.1,93,_num_longop_child_latches,93
12.2.0.1,93,_num_rlslaves,32
12.2.0.1,93,_parallel_min_message_pool,6874988544
12.2.0.1,93,_pmon_max_slaves,148
12.2.0.1,93,_pmon_slaves_arr_size,3740
12.2.0.1,93,_px_proactive_slave_alloc_threshold,372
12.2.0.1,93,_session_allocation_latches,93
12.2.0.1,93,_shared_server_num_queues,4
12.2.0.1,93,_small_table_threshold,14339
12.2.0.1,93,_spin_count,2000
12.2.0.1,93,_sqlmon_max_plan,1860
12.2.0.1,93,_super_shared_conversion_threshold,7480
12.2.0.1,93,_use_single_log_writer,-1
12.2.0.1,93,cpu_count,93
12.2.0.1,93,db_file_multiblock_read_count,63
12.2.0.1,93,db_writer_processes,11
12.2.0.1,93,dml_locks,49512
12.2.0.1,93,log_buffer,72867840
12.2.0.1,93,parallel_max_servers,3720
12.2.0.1,93,parallel_min_servers,372
12.2.0.1,93,parallel_servers_target,1488
12.2.0.1,93,pga_aggregate_limit,23530045440
12.2.0.1,93,processes,7480
12.2.0.1,93,sessions,11253
12.2.0.1,93,sga_max_size,7516192768
12.2.0.1,93,shared_pool_reserved_size,59559116
12.2.0.1,93,transactions,12378
12.2.0.1,94,__db_cache_size,5502926848
12.2.0.1,94,__large_pool_size,83886080
12.2.0.1,94,__shared_pool_size,1828716544
12.2.0.1,94,_cursor_db_buffers_pinned,92
12.2.0.1,94,_db_block_buffers,716994
12.2.0.1,94,_db_block_lru_latches,752
12.2.0.1,94,_db_file_exec_read_count,63
12.2.0.1,94,_db_handles,75600
12.2.0.1,94,_enqueue_hash,22783
12.2.0.1,94,_enqueue_hash_chain_latches,94
12.2.0.1,94,_enqueue_locks,136600
12.2.0.1,94,_enqueue_resources,50264
12.2.0.1,94,_flashback_generation_buffer_size,394264576
12.2.0.1,94,_gc_fast_index_split_wait,3780
12.2.0.1,94,_gcs_min_cr_slaves,1
12.2.0.1,94,_hang_resolution_scope,0
12.2.0.1,94,_lms_rollbacks,1
12.2.0.1,94,_log_parallelism_max,5
12.2.0.1,94,_log_simultaneous_copies,188
12.2.0.1,94,_max_log_write_parallelism,2
12.2.0.1,94,_max_outstanding_log_writes,2
12.2.0.1,94,_max_pending_scn_bcasts,9
12.2.0.1,94,_messages,15120
12.2.0.1,94,_num_longop_child_latches,94
12.2.0.1,94,_num_rlslaves,32
12.2.0.1,94,_parallel_min_message_pool,7022837760
12.2.0.1,94,_pmon_max_slaves,150
12.2.0.1,94,_pmon_slaves_arr_size,3780
12.2.0.1,94,_px_proactive_slave_alloc_threshold,376
12.2.0.1,94,_session_allocation_latches,94
12.2.0.1,94,_shared_server_num_queues,4
12.2.0.1,94,_small_table_threshold,14339
12.2.0.1,94,_spin_count,2000
12.2.0.1,94,_sqlmon_max_plan,1880
12.2.0.1,94,_super_shared_conversion_threshold,7560
12.2.0.1,94,_use_single_log_writer,-1
12.2.0.1,94,cpu_count,94
12.2.0.1,94,db_file_multiblock_read_count,63
12.2.0.1,94,db_writer_processes,11
12.2.0.1,94,dml_locks,50044
12.2.0.1,94,log_buffer,72867840
12.2.0.1,94,parallel_max_servers,3760
12.2.0.1,94,parallel_min_servers,376
12.2.0.1,94,parallel_servers_target,1504
12.2.0.1,94,pga_aggregate_limit,23781703680
12.2.0.1,94,processes,7560
12.2.0.1,94,sessions,11374
12.2.0.1,94,sga_max_size,7516192768
12.2.0.1,94,shared_pool_reserved_size,59559116
12.2.0.1,94,transactions,12511
12.2.0.1,95,__db_cache_size,5502926848
12.2.0.1,95,__large_pool_size,83886080
12.2.0.1,95,__shared_pool_size,1828716544
12.2.0.1,95,_cursor_db_buffers_pinned,91
12.2.0.1,95,_db_block_buffers,716994
12.2.0.1,95,_db_block_lru_latches,760
12.2.0.1,95,_db_file_exec_read_count,62
12.2.0.1,95,_db_handles,76400
12.2.0.1,95,_enqueue_hash,23025
12.2.0.1,95,_enqueue_hash_chain_latches,95
12.2.0.1,95,_enqueue_locks,138050
12.2.0.1,95,_enqueue_resources,50796
12.2.0.1,95,_flashback_generation_buffer_size,398458880
12.2.0.1,95,_gc_fast_index_split_wait,3820
12.2.0.1,95,_gcs_min_cr_slaves,1
12.2.0.1,95,_hang_resolution_scope,0
12.2.0.1,95,_lms_rollbacks,1
12.2.0.1,95,_log_parallelism_max,5
12.2.0.1,95,_log_simultaneous_copies,190
12.2.0.1,95,_max_log_write_parallelism,2
12.2.0.1,95,_max_outstanding_log_writes,2
12.2.0.1,95,_max_pending_scn_bcasts,9
12.2.0.1,95,_messages,15280
12.2.0.1,95,_num_longop_child_latches,95
12.2.0.1,95,_num_rlslaves,32
12.2.0.1,95,_parallel_min_message_pool,7172259840
12.2.0.1,95,_pmon_max_slaves,152
12.2.0.1,95,_pmon_slaves_arr_size,3820
12.2.0.1,95,_px_proactive_slave_alloc_threshold,380
12.2.0.1,95,_session_allocation_latches,95
12.2.0.1,95,_shared_server_num_queues,4
12.2.0.1,95,_small_table_threshold,14339
12.2.0.1,95,_spin_count,2000
12.2.0.1,95,_sqlmon_max_plan,1900
12.2.0.1,95,_super_shared_conversion_threshold,7640
12.2.0.1,95,_use_single_log_writer,-1
12.2.0.1,95,cpu_count,95
12.2.0.1,95,db_file_multiblock_read_count,62
12.2.0.1,95,db_writer_processes,11
12.2.0.1,95,dml_locks,50576
12.2.0.1,95,log_buffer,72867840
12.2.0.1,95,parallel_max_servers,3800
12.2.0.1,95,parallel_min_servers,380
12.2.0.1,95,parallel_servers_target,1520
12.2.0.1,95,pga_aggregate_limit,24033361920
12.2.0.1,95,processes,7640
12.2.0.1,95,sessions,11495
12.2.0.1,95,sga_max_size,7516192768
12.2.0.1,95,shared_pool_reserved_size,59559116
12.2.0.1,95,transactions,12644
12.2.0.1,96,__db_cache_size,5452595200
12.2.0.1,96,__large_pool_size,83886080
12.2.0.1,96,__shared_pool_size,1862270976
12.2.0.1,96,_cursor_db_buffers_pinned,90
12.2.0.1,96,_db_block_buffers,715035
12.2.0.1,96,_db_block_lru_latches,768
12.2.0.1,96,_db_file_exec_read_count,61
12.2.0.1,96,_db_handles,77200
12.2.0.1,96,_enqueue_hash,23267
12.2.0.1,96,_enqueue_hash_chain_latches,96
12.2.0.1,96,_enqueue_locks,139500
12.2.0.1,96,_enqueue_resources,51328
12.2.0.1,96,_flashback_generation_buffer_size,402653184
12.2.0.1,96,_gc_fast_index_split_wait,3860
12.2.0.1,96,_gcs_min_cr_slaves,1
12.2.0.1,96,_hang_resolution_scope,0
12.2.0.1,96,_lms_rollbacks,1
12.2.0.1,96,_log_parallelism_max,6
12.2.0.1,96,_log_simultaneous_copies,192
12.2.0.1,96,_max_log_write_parallelism,2
12.2.0.1,96,_max_outstanding_log_writes,2
12.2.0.1,96,_max_pending_scn_bcasts,9
12.2.0.1,96,_messages,15440
12.2.0.1,96,_num_longop_child_latches,96
12.2.0.1,96,_num_rlslaves,32
12.2.0.1,96,_parallel_min_message_pool,7323254784
12.2.0.1,96,_pmon_max_slaves,154
12.2.0.1,96,_pmon_slaves_arr_size,3860
12.2.0.1,96,_px_proactive_slave_alloc_threshold,384
12.2.0.1,96,_session_allocation_latches,96
12.2.0.1,96,_shared_server_num_queues,4
12.2.0.1,96,_small_table_threshold,14300
12.2.0.1,96,_spin_count,2000
12.2.0.1,96,_sqlmon_max_plan,1920
12.2.0.1,96,_super_shared_conversion_threshold,7720
12.2.0.1,96,_use_single_log_writer,-1
12.2.0.1,96,cpu_count,96
12.2.0.1,96,db_file_multiblock_read_count,61
12.2.0.1,96,db_writer_processes,12
12.2.0.1,96,dml_locks,51108
12.2.0.1,96,log_buffer,89112576
12.2.0.1,96,parallel_max_servers,3840
12.2.0.1,96,parallel_min_servers,384
12.2.0.1,96,parallel_servers_target,1536
12.2.0.1,96,pga_aggregate_limit,24285020160
12.2.0.1,96,processes,7720
12.2.0.1,96,sessions,11616
12.2.0.1,96,sga_max_size,7516192768
12.2.0.1,96,shared_pool_reserved_size,59559116
12.2.0.1,96,transactions,12777
12.2.0.1,97,__db_cache_size,5435817984
12.2.0.1,97,__large_pool_size,83886080
12.2.0.1,97,__shared_pool_size,1879048192
12.2.0.1,97,_cursor_db_buffers_pinned,89
12.2.0.1,97,_db_block_buffers,715035
12.2.0.1,97,_db_block_lru_latches,776
12.2.0.1,97,_db_file_exec_read_count,60
12.2.0.1,97,_db_handles,78000
12.2.0.1,97,_enqueue_hash,23509
12.2.0.1,97,_enqueue_hash_chain_latches,97
12.2.0.1,97,_enqueue_locks,140950
12.2.0.1,97,_enqueue_resources,51860
12.2.0.1,97,_flashback_generation_buffer_size,406847488
12.2.0.1,97,_gc_fast_index_split_wait,3900
12.2.0.1,97,_gcs_min_cr_slaves,1
12.2.0.1,97,_hang_resolution_scope,0
12.2.0.1,97,_lms_rollbacks,1
12.2.0.1,97,_log_parallelism_max,6
12.2.0.1,97,_log_simultaneous_copies,194
12.2.0.1,97,_max_log_write_parallelism,2
12.2.0.1,97,_max_outstanding_log_writes,2
12.2.0.1,97,_max_pending_scn_bcasts,9
12.2.0.1,97,_messages,15600
12.2.0.1,97,_num_longop_child_latches,97
12.2.0.1,97,_num_rlslaves,32
12.2.0.1,97,_parallel_min_message_pool,7475822592
12.2.0.1,97,_pmon_max_slaves,156
12.2.0.1,97,_pmon_slaves_arr_size,3900
12.2.0.1,97,_px_proactive_slave_alloc_threshold,388
12.2.0.1,97,_session_allocation_latches,97
12.2.0.1,97,_shared_server_num_queues,4
12.2.0.1,97,_small_table_threshold,14300
12.2.0.1,97,_spin_count,2000
12.2.0.1,97,_sqlmon_max_plan,1940
12.2.0.1,97,_super_shared_conversion_threshold,7800
12.2.0.1,97,_use_single_log_writer,-1
12.2.0.1,97,cpu_count,97
12.2.0.1,97,db_file_multiblock_read_count,60
12.2.0.1,97,db_writer_processes,12
12.2.0.1,97,dml_locks,51640
12.2.0.1,97,log_buffer,89112576
12.2.0.1,97,parallel_max_servers,3880
12.2.0.1,97,parallel_min_servers,388
12.2.0.1,97,parallel_servers_target,1552
12.2.0.1,97,pga_aggregate_limit,24536678400
12.2.0.1,97,processes,7800
12.2.0.1,97,sessions,11737
12.2.0.1,97,sga_max_size,7516192768
12.2.0.1,97,shared_pool_reserved_size,59559116
12.2.0.1,97,transactions,12910
12.2.0.1,98,__db_cache_size,5419040768
12.2.0.1,98,__large_pool_size,83886080
12.2.0.1,98,__shared_pool_size,1895825408
12.2.0.1,98,_cursor_db_buffers_pinned,88
12.2.0.1,98,_db_block_buffers,715035
12.2.0.1,98,_db_block_lru_latches,784
12.2.0.1,98,_db_file_exec_read_count,60
12.2.0.1,98,_db_handles,78800
12.2.0.1,98,_enqueue_hash,23751
12.2.0.1,98,_enqueue_hash_chain_latches,98
12.2.0.1,98,_enqueue_locks,142400
12.2.0.1,98,_enqueue_resources,52392
12.2.0.1,98,_flashback_generation_buffer_size,411041792
12.2.0.1,98,_gc_fast_index_split_wait,3940
12.2.0.1,98,_gcs_min_cr_slaves,1
12.2.0.1,98,_hang_resolution_scope,0
12.2.0.1,98,_lms_rollbacks,1
12.2.0.1,98,_log_parallelism_max,6
12.2.0.1,98,_log_simultaneous_copies,196
12.2.0.1,98,_max_log_write_parallelism,2
12.2.0.1,98,_max_outstanding_log_writes,2
12.2.0.1,98,_max_pending_scn_bcasts,9
12.2.0.1,98,_messages,15760
12.2.0.1,98,_num_longop_child_latches,98
12.2.0.1,98,_num_rlslaves,32
12.2.0.1,98,_parallel_min_message_pool,7629963264
12.2.0.1,98,_pmon_max_slaves,156
12.2.0.1,98,_pmon_slaves_arr_size,3940
12.2.0.1,98,_px_proactive_slave_alloc_threshold,392
12.2.0.1,98,_session_allocation_latches,98
12.2.0.1,98,_shared_server_num_queues,4
12.2.0.1,98,_small_table_threshold,14300
12.2.0.1,98,_spin_count,2000
12.2.0.1,98,_sqlmon_max_plan,1960
12.2.0.1,98,_super_shared_conversion_threshold,7880
12.2.0.1,98,_use_single_log_writer,-1
12.2.0.1,98,cpu_count,98
12.2.0.1,98,db_file_multiblock_read_count,60
12.2.0.1,98,db_writer_processes,12
12.2.0.1,98,dml_locks,52172
12.2.0.1,98,log_buffer,89112576
12.2.0.1,98,parallel_max_servers,3920
12.2.0.1,98,parallel_min_servers,392
12.2.0.1,98,parallel_servers_target,1568
12.2.0.1,98,pga_aggregate_limit,24788336640
12.2.0.1,98,processes,7880
12.2.0.1,98,sessions,11858
12.2.0.1,98,sga_max_size,7516192768
12.2.0.1,98,shared_pool_reserved_size,59559116
12.2.0.1,98,transactions,13043
12.2.0.1,99,__db_cache_size,5402263552
12.2.0.1,99,__large_pool_size,83886080
12.2.0.1,99,__shared_pool_size,1912602624
12.2.0.1,99,_cursor_db_buffers_pinned,87
12.2.0.1,99,_db_block_buffers,715035
12.2.0.1,99,_db_block_lru_latches,792
12.2.0.1,99,_db_file_exec_read_count,59
12.2.0.1,99,_db_handles,79600
12.2.0.1,99,_enqueue_hash,23993
12.2.0.1,99,_enqueue_hash_chain_latches,99
12.2.0.1,99,_enqueue_locks,143850
12.2.0.1,99,_enqueue_resources,52924
12.2.0.1,99,_flashback_generation_buffer_size,415236096
12.2.0.1,99,_gc_fast_index_split_wait,3980
12.2.0.1,99,_gcs_min_cr_slaves,1
12.2.0.1,99,_hang_resolution_scope,0
12.2.0.1,99,_lms_rollbacks,1
12.2.0.1,99,_log_parallelism_max,6
12.2.0.1,99,_log_simultaneous_copies,198
12.2.0.1,99,_max_log_write_parallelism,2
12.2.0.1,99,_max_outstanding_log_writes,2
12.2.0.1,99,_max_pending_scn_bcasts,9
12.2.0.1,99,_messages,15920
12.2.0.1,99,_num_longop_child_latches,99
12.2.0.1,99,_num_rlslaves,32
12.2.0.1,99,_parallel_min_message_pool,7785676800
12.2.0.1,99,_pmon_max_slaves,158
12.2.0.1,99,_pmon_slaves_arr_size,3980
12.2.0.1,99,_px_proactive_slave_alloc_threshold,396
12.2.0.1,99,_session_allocation_latches,99
12.2.0.1,99,_shared_server_num_queues,4
12.2.0.1,99,_small_table_threshold,14300
12.2.0.1,99,_spin_count,2000
12.2.0.1,99,_sqlmon_max_plan,1980
12.2.0.1,99,_super_shared_conversion_threshold,7960
12.2.0.1,99,_use_single_log_writer,-1
12.2.0.1,99,cpu_count,99
12.2.0.1,99,db_file_multiblock_read_count,59
12.2.0.1,99,db_writer_processes,12
